Kanton;Unfall;Fatal;Injured;heavy_Injured;anzahlFahrzeuge
AG;1155;15;935;205;505'108
AI;33;0;21;12;13978
AR;94;0;78;16;43'378
BE;2616;37;2009;570;742'794
BL;464;5;395;64;191'895
BS;366;1;280;85;86'113
FR;539;7;439;93;237'578
GE;1127;11;811;305;303'219
GL;95;0;71;24;31'522
GR;509;19;417;73;157'002
JU;144;1;113;30;56'873
LU;979;12;803;164;295'829
NE;290;6;244;40;122'894
NW;79;2;56;21;35'444
OW;97;4;76;17;31'518
SG;912;10;764;138;372'121
SH;158;1;128;29;62'026
SO;572;7;497;68;203'796
SZ;298;6;247;45;131'953
TG;614;8;476;130;230'743
TI;784;9;568;207;306'961
UR;112;4;90;18;27'219
VD;1646;20;1298;328;528'486
VS;505;9;355;141;285'841
ZG;259;3;194;62;101'899
ZH;3352;22;2788;542;947'068
