Kanton;Unfall;Fatal;Injured;heavy_Injured;anzahlFahrzeuge
AG;1213;24;959;230;490'185
AI;30;1;21;8;13'379
AR;78;1;63;14;41'947
BE;2551;35;1993;523;724'953
BL;478;7;385;86;187'537
BS;391;3;294;94;85'191
FR;541;6;420;115;227'585
GE;1264;9;928;327;299'808
GL;105;4;75;26;30'719
GR;483;15;388;80;152'688
JU;165;3;134;28;55'125
LU;1013;13;850;150;284'459
NE;282;3;220;59;120'941
NW;103;3;72;28;34'476
OW;66;1;52;13;30'612
SG;911;13;708;190;362'744
SH;158;3;115;40;60'317
SO;613;8;518;87;198'328
SZ;298;5;239;54;126'689
TG;598;8;473;117;221'037
TI;904;12;676;216;301'627
UR;117;3;95;19;26'497
VD;1400;18;1042;340;521'827
VS;505;15;348;142;274'284
ZG;267;2;216;49;96'634
ZH;3202;23;2602;577;925'409
